latitude, longitude, elevation_m, observation_time, station_id, temperature_c, wind_speed_ms, wind_direction, wind_gust, precipitation, source
11.811393,-2.663268,,,Laba,,,,,,
10.15,-2.9,,,Legmoin,,,,,,
12.4765,-1.2069,,,Linoghin,,,,,,
13.1769,0.313,,,Liptougou,,,,,,
10.2963,-3.527,,,Loropéni,,,,,,
10.5777,-5.3524,,,Loumana,,,,,,
12.5221,-1.3828,,,Loumbila,,,,,,
11.0961,-2.1006,,,Léo,,,,,,
12.76,-3.39,,,Léri,,,,,,
9.9,-4.35,,,MANGODARA,,,,,,
14.6333333333,-0.0666666667,,,MARKOYE,,,,,,
11.4727,1.24,,,Madjoari,,,,,,
11.7211,1.764,,,Mahadaga,,,,,,
10.4525,-2.9828,,,Malba,,,,,,
12.9791,-1.3362,,,Mane,,,,,,
11.6845,-1.078,,,Manga,,,,,,
9.9132,-4.3542,,,Mangodara,,,,,,
13.2547,0.2139,,,Manni,,,,,,
13.1649,0.6379,,,Mansila,,,,,,
14.64,0.04,,,Markoye,,,,,,
12.3655,1.0389,,,Matiakouali,,,,,,
12.4218,-0.7127,,,Meguet,,,,,,
12.285,-0.8353,,,Mogtedo,,,,,,
12.2167,-3.7431,,,Monkuy,,,,,,
11.9,-5.0167,,,Morolaba,,,,,,
12.377209,-1.472737,,,Musee Nationale,,,,,,
12.0219,0.604,,,Namoungou,,,,,,
11.8559,1.6959,,,Namounou,,,,,,
13.6193,-2.2062,,,Namssiguima,,,,,,
12.69,-2.19,,,Nanoro,,,,,,
11.2018,-4.4333,,,Nasso,,,,,,
13.3333,-1.3669,,,Nasséré,,,,,,
11.75,-4.81,,,Ndorola,,,,,,
11.8899,-2.357,,,Neielanyaou,,,,,,
10.2933,-4.9136,,,Niangoloko,,,,,,
11.77,-0.77,,,Niaogho,,,,,,
12.4304,-1.4486,,,Nioko2,,,,,,
12.766146,-1.936481,,,Niou,,,,,,
11.5571,-1.1993,,,Nobéré,,,,,,
12.417,-1.5859,,,Noghin,,,,,,
12.73,-3.87,,,Nouna,,,,,,
12.7529,-3.8232,,,Nouna,,,,,,
12.35,-2.18,,,OUAGADOUGOU,,,,,,
12.35,-1.5166666667,,,OUAGADOUGOU,,,,,,
13.58,-2.43,,,OUAHIGOUYA,,,,,,
13.5833333333,-2.4333333333,,,OUAHIGOUYA,,,,,,
10.9809,-4.9087,,,Orodara,,,,,,
13.5668,-2.411,,,Ouahigouya,,,,,,
11.8653,-3.6342,,,Ouakara,,,,,,
10.0647,-4.8087,,,Ouangolodougou,,,,,,
11.5032,0.0593,,,Ouargaye,,,,,,
12.0878,-3.6703,,,Ouarkoye,,,,,,
13.3405,-0.7795,,,Ouintokoulga,,,,,,
10.3995,-3.8474,,,Ouo,,,,,,
12.7775,-1.5094,,,Ourgou-Manega,,,,,,
14.6773,-0.4647,,,Oursi,,,,,,
11.9666,-3.037,,,Oury,,,,,,
10.8484,-5.343,,,Ouéléni,,,,,,
11.17,-1.15,,,PO,,,,,,
11.1666666667,-1.15,,,PO,,,,,,
11.5483,-3.2714,,,Pa,,,,,,
12.52,-1.57,,,Pabre,,,,,,
12.2442,0.7119,,,Pama,,,,,,
13.3405,-0.809,,,Pensa-Natenga,,,,,,
12.8938,-0.8128,,,Pibaore,,,,,,
12.7,0.1316,,,Piela,,,,,,
13.1677,-0.8295,,,Pissila,,,,,,
12.2087,-2.1184,,,Poa,,,,,,
13.8987,-1.763,,,Pobe-Mengao,,,,,,
12.5144,-1.4333,,,Polesgo,,,,,,
11.8509,-3.2376,,,Pompoi,,,,,,
11.953104,-2.544125,,,Pouni,,,,,,
11.6,-2.7631,,,Poura,,,,,,
12.221514,-2.24657,,,Ramongo,,,,,,
13.5986,-1.704,,,Rollo,,,,,,
12.3086,-2.4586,,,Réo,,,,,,
12.0634,-2.22,,,Sabou,,,,,,
12.13,-3.22,,,Safané,,,,,,
12.8775,-0.7419,,,Safi,,,,,,
12.447453,-0.619763,,,Salogo,,,,,,
12.6883,-2.3781,,,Samba,,,,,,
11.3995,-4.9348,,,Samorogouan,,,,,,
13.0149,0.1438,,,Samou,,,,,,
13.756338,0.213219,,,Sampelga,,,,,,
12.4015,-3.8128,,,Sanaba,,,,,,
13.5925,-1.3697,,,Sanare,,,,,,
11.18,0.16,,,Sangha,,,,,,
12.5969,-1.7687,,,Sapeo,,,,,,
12.05,-1.6,,,Sapone,,,,,,
11.5461,-1.7731,,,Sapouy,,,,,,
12.2667,-2.15,,,Saria,,,,,,
13.46,0.5332,,,Sebba,,,,,,
13.9793,0.304,,,Seytenga,,,,,,
11.8647,-2.9762,,,Siby,,,,,,
10.6783,-4.2511,,,Sidéradougou,,,,,,
12.558433,-1.899225,,,Sigle,,,,,,
11.592194,-2.490806,,,Silly,,,,,,
10.6606,-5.1636,,,Sindou,,,,,,
12.1798,-4.0833,,,Solenzo,,,,,,
13.369725,0.455805,,,Solhan,,,,,,
12.4052,-1.5063,,,Somgande,,,,,,
10.4779,-4.9992,,,Soubakaniedougou,,,,,,
12.4299,-3.5151,,,Souri,,,,,,
12.82,-3.22,,,Sourou-Gassan,,,,,,
12.4125,-1.8082,,,Sourougbila,,,,,,
13.438,-1.9672,,,Séguénega,,,,,,
12.2796,-1.7169,,,Tanghin-Dassouri,,,,,,
12.4153,-4.3872,,,Tansila,,,,,,
12.2667,-3.0949,,,Tchériba,,,,,,
12.1951,-2.6133,,,Tenado,,,,,,
11.779,-0.3658,,,Tenkodogo,,,,,,
11.9533,-2.1988,,,Thiou-Koudougou,,,,,,
13.8029,-2.6584,,,Thiou-Ouahigouya,,,,,,
13.7686,-2.0739,,,Tikare,,,,,,
14.9628,-0.1612,,,Tinacoff,,,,,,
11.4529,-2.2172,,,Tiogo,,,,,,
13.765591,0.431509,,,Titabe,,,,,,
11.0976,-0.9219,,,Tiébélé,,,,,,
12.7586,-2.8952,,,Toma,,,,,,
14.0674,-1.4799,,,Tongomayel,,,,,,
13.456127,-1.795635,,,Touga,,,,,,
13.0727,-3.071,,,Tougan,,,,,,
13.313,-0.5236,,,Tougouri,,,,,,
10.8357,-4.6177,,,Toussiana,,,,,,
11.8469,-1.2673,,,Toécé,,,,,,
12.8145,-1.7247,,,Toéghin,,,,,,
13.2064,-2.121,,,Toéni,,,,,,
13.0072,-1.7945,,,Téma Bokin,,,,,,
11.37,-4.38,,,Vallee du Kou,,,,,,
11.9711,-3.4295,,,Wona,,,,,,
12.9569,-2.2662,,,Yako,,,,,,
13.5984,-0.2602,,,Yalgo,,,,,,
12.3,0.34,,,Yamba,,,,,,
11.1829,0.6335,,,Zabre,,,,,,
12.0283,-2.7176,,,Zamo,,,,,,
12.9667,-0.4523,,,Zeguedeguen,,,,,,
12.4888,-1.1104,,,Ziga-Ziniare,,,,,,
13.4343,-1.5082,,,Zimtenga,,,,,,
11.0427,-0.7743,,,Ziou,,,,,,
12.744341,-1.311484,,,Zitenga,,,,,,
13.399,-2.5907,,,Zogoré,,,,,,
12.2407,-0.6214,,,Zorgho,,,,,,
12.151424,-0.539804,,,Zoungou,,,,,,
-3.3166666667,29.316666667,,,BUJUMBURA,,,,,,
-2.88,29.12,,,Cibitoke,,,,,,
-3.423333,29.923333,,,GITEGA-BURUNDI,,,,,,
-2.8658,29.60917,,,Gashikanwa,,,,,,
-3.1,30.17,,,Karuzi,,,,,,
-2.93,29.61,,,Kayanza,,,,,,
-2.833333333,30.3333333333,,,MUYINGA,,,,,,
-3.26,29.61,,,Muramvya,,,,,,
-4,30.1,,,Rutana,,,,,,
-3.47,30.25,,,Ruyigi,,,,,,
14.9411111111,-23.4847222222,,,PRAIA,,,,,,
16.7419444444,-22.9488888889,,,SAL,,,,,,
16.8336111111,-25.0547222222,,,SAO PEDRO,,,,,,
3.9666666667,13.2,,,ABONG-MBANG,,,,,,
2.3833,11.2833,,,AMBAM,,,,,,
5.1502,10.1669,,,BAFANG,,,,,,
4.7333333333,11.25,,,BAFIA,,,,,,
5.5166,10.35,,,BAFOUSSAM,,,,,,
5.1502,10.5169,,,BAGANGTE,,,,,,
5.3336,10.3669,,,BAHAM,,,,,,
6.05,10.1166666667,,,BAMENDA AIRPORT,,,,,,
5.963,10.1591,,,BAMENDA UP STATION,,,,,,
5.35,10.4,,,BANDJOUN,,,,,,
5.0833,9.7666,,,BANGEM,,,,,,
6.7833333333,11.8166666667,,,BANYO,,,,,,
4.4666666667,14.3666666667,,,BATOURI,,,,,,
4.6,13.7333333333,,,BERTOUA-VILLE,,,,,,
5.6,14.0666666667,,,BETARE-OYA,,,,,,
4,9.7333333333,,,DOUALA OBS.,,,,,,
5.4333333333,10.05,,,DSCHANG,,,,,,
2.9167,11.1333,,,EBOLOWA,,,,,,
4.7669,10.0669,,,EDEA,,,,,,
9.3333333333,13.3833333333,,,GAROUA,,,,,,
9.9333333333,13.95,,,GUIDER,,,,,,
10.0833333333,14.4333333333,,,KAELE,,,,,,
5.65,10.75,,,KOUNDJA,,,,,,
12.0833,15.0333,,,KOUSSERI,,,,,,
2.95,9.9,,,KRIBI,,,,,,
4.6333,9.45,,,KUMBA,,,,,,
6.2002,10.6669,,,KUMBO,,,,,,
3.15,13.6166666667,,,LOMIE,,,,,,
5.7166666667,9.2833333333,,,MAMFE,,,,,,
10.45,14.25,,,MAROUA-SALAK,,,,,,
3.5155,11.5008,,,MBALMAYO,,,,,,
6.0169,10.0002,,,MBENGWI,,,,,,
5.6166,10.25,,,MBOUDA,,,,,,
6.5333333333,14.3666666667,,,MEIGANGA,,,,,,
5.7,10.05,,,MENJI,,,,,,
